"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"LIMS2",2012,475,1232,1462,89,6907,6008,16373,778,3202,2009,3502,3040,4268,5315,4964,7161,4169,4101,19943,4067,5646,6587,2204,3260,2228,2968,1312,4331,624,931,4389,3176,2332,2162,2611,3439,1561,1673,1089,2298,787,545
"ATP5F1A",26292,16386,21859,17551,25536,21365,20260,23875,14265,16405,15154,16982,18756,16865,20233,24419,22697,22523,22721,19500,18848,21888,23521,23777,24395,22554,16617,19578,26075,23969,14645,15351,19539,12105,27311,24993,18983,21836,25989,23094,22839,21375,20668
"SELENOW",9084,13116,9487,8446,8521,18230,10333,8755,4214,6728,8685,14890,3539,8408,9025,4035,9940,11389,3097,14125,8440,16043,6010,10065,12483,14683,8839,10332,8980,15071,10178,13574,12203,10901,8051,20036,14203,8507,9409,8181,7873,9725,5205
"CTSC",7262,4075,4439,7342,6956,4912,8289,1069,461,2588,3348,4845,2662,7359,8148,2049,3539,5026,1479,1244,7127,12165,4320,9230,8251,14054,5502,16249,3937,3993,2319,1132,9137,2883,9698,11522,7344,9634,9111,8602,2619,2287,1617
"TNFAIP8L3",4718,6463,88,5781,998,7732,3289,1143,4554,11047,11961,6122,5771,2292,3923,6481,9208,4011,6299,1025,3750,2165,6872,6387,8033,8476,11966,358,16824,8639,12845,5223,5737,6052,3807,5739,2880,2614,2728,1866,5536,9838,11622
"DDX17",23646,20188,18044,21117,11380,19674,24061,27141,19038,18987,18521,19483,21351,21398,22207,24187,24616,18571,29232,26897,23312,22406,21790,20774,20724,22112,16711,14362,19101,20012,12110,19467,22696,15006,17910,15877,18089,24036,24740,24064,21196,20660,23549
"LARP1",16477,21490,20300,20059,15863,16601,15627,8803,19567,15824,12298,17099,13267,13841,16724,16838,14923,14178,12392,8758,17629,12875,10233,17594,17227,16803,16357,17225,12248,9646,14934,10247,14034,11749,15727,12964,16643,24063,18968,21043,20331,21968,21432
"IARS1",8023,10283,15705,10022,20743,8224,8168,10507,7578,7218,4770,8279,5460,8709,7930,9356,5742,11541,8680,6547,9381,9917,8482,10905,9478,8585,5372,24353,5604,5513,4298,9132,10150,7069,8587,6090,10879,10431,10483,10968,11358,8936,7569
"BCR",12435,7935,4555,11434,2063,8207,14836,7877,7090,9749,11122,13005,12383,12819,15670,12780,14173,9987,9897,8620,16424,14887,8220,16293,11656,13942,12172,2172,7768,10866,12352,5522,9136,6770,11155,10685,10044,15711,15443,15888,9069,14484,16620
"SHISA5",12058,8252,12315,15649,11151,21846,12265,13356,6093,9452,7549,15645,7021,15391,16480,9212,9011,16016,7600,13680,14939,14116,11502,12460,17799,14384,10677,12288,14056,9068,5521,16779,15332,16306,11920,9094,19322,13171,14096,12632,10506,7812,7403
"BMX",6662,5793,87,4023,0,2227,7512,4413,7554,7086,2467,4050,6666,4013,7172,8771,10361,4777,7554,4158,8285,6517,6987,4760,2974,4554,5551,3,3094,4059,4611,2378,2992,2891,6988,8502,3188,13179,14378,16424,7282,13168,10867
"PRKDC",12405,13297,15460,19936,8199,17153,14710,21002,12367,13167,11203,19646,11988,13904,11800,16543,11740,13037,21516,19338,14447,16577,13918,20586,15663,15138,12301,15504,7137,6366,7936,10117,16028,15240,15523,9972,17785,18483,15890,16227,14881,18508,15486
"ARF4",13565,14849,21420,12149,19277,8853,12170,11902,9753,9991,6918,12436,8993,12886,14735,12955,9206,11567,11468,6737,12766,12275,10690,14123,12107,14335,10080,26789,10394,11546,9675,16630,13340,14388,14390,12090,16042,13502,13437,15299,18881,12273,10131
"SLC16A3",4517,8847,23648,7107,8496,7078,7727,6494,4437,4927,3649,8119,4815,8214,7974,7698,5514,6527,4232,3957,7599,7699,5404,9516,8559,6922,4101,14716,4095,2934,3383,7933,8311,11007,6154,3420,11255,4229,3405,3504,4756,3886,2667
"NFKBIA",3103,3578,5941,5189,1656,6375,9927,8280,5022,9703,8967,6866,5184,7052,10210,5928,8744,6687,7749,8288,10334,7397,8812,4748,4894,5552,11441,2300,19803,14296,6776,12129,7198,11278,4555,3059,10702,2445,2911,2446,3358,3178,3415
"ACTR3",13278,16370,18387,16669,20125,15676,15435,23635,13028,10803,7560,14315,9037,16241,17623,12825,10131,18665,13757,14017,17958,17711,12402,15315,15080,13248,9573,16591,14420,15859,7517,18678,19568,16187,17095,10957,23520,16922,15840,18672,19032,13398,12919
"HNRNPUL1",22623,16317,11845,19268,11878,14664,17059,11214,15235,12954,12683,16517,14349,14288,16546,19197,16631,13156,18303,13831,18138,14395,11356,19822,16571,21010,19672,10822,15665,12147,14845,7731,14261,9042,20318,18553,13544,22926,22628,20780,17627,17193,17641
"PAWR",4346,12637,1473,4529,469,2021,8414,3232,16546,5053,1604,8331,6015,9002,9696,7813,4203,3556,7515,1916,9977,7009,4813,8191,3668,4660,4285,2650,2620,1615,6097,4735,7091,4570,7379,5934,6105,5945,4525,7101,13770,14335,11700
"AMOTL2",6755,8673,7253,6387,11660,1852,13520,7455,13578,6991,1607,11362,7683,10812,8426,12450,6797,5919,8633,10183,12864,10385,8312,10197,7487,12102,6301,19495,2947,1588,3539,8216,11092,6299,8070,5057,10990,12093,8646,13564,8757,5922,4685
"IFI16",9537,5520,6339,13962,6371,10925,8259,8631,6315,4785,2454,10026,4414,7817,11579,5533,4432,11613,6183,9039,11689,12117,4851,13668,12280,13815,12943,4457,15731,3535,3850,7311,8935,9848,15327,8197,8420,14154,13356,14129,7686,6093,5838
"LHX6",427,12,242,8914,0,10696,1847,7581,47,1301,456,7873,1078,3447,3141,150,1039,3277,25,12445,6003,7197,1782,7973,6176,7704,11252,3,8002,15,291,135,4512,3717,6232,994,2164,2526,745,1594,348,23,20
"ADGRL2",5517,2957,753,10707,3304,11419,5443,8066,2220,6215,10821,8586,746,5057,5896,3886,5075,5969,46,7759,7283,7268,9013,7246,7631,11148,7994,9991,9153,4419,4307,4701,5609,16078,10377,6816,7791,11208,10196,10862,1003,996,163
"H3C3",4812,1267,411,2783,819,3356,5460,15977,526,2081,1740,1765,3149,4297,3355,9113,2302,6976,12009,16140,3109,4403,4091,4554,736,1323,1421,1235,2097,1958,1678,2528,3962,426,4589,8125,6577,5912,6847,4468,4802,1951,1947
"MYO1B",3809,14773,12281,12560,7173,8749,6936,1725,12621,7445,4407,7719,4385,6232,7600,3643,3245,5730,5375,2011,8139,6853,5634,9267,8937,9537,7026,20485,7861,5841,4188,5094,7387,10701,10197,7370,11467,10646,7429,10348,12494,10698,11822
"GIMAP8",6530,3749,234,3835,0,1041,8105,6869,6291,5302,4334,3486,8078,4044,4791,6859,5179,2111,8194,8030,4275,4133,2572,8001,3058,7455,4621,2,1629,3737,4728,1190,1428,486,8973,7537,2482,12296,12472,13782,6540,13481,11282
"NEAT1",6467,8260,13461,7311,11203,9026,2832,4668,13182,6236,8942,6178,2290,5826,9681,5452,7006,4730,6712,5366,5114,4327,10538,2732,3825,2736,5277,9078,5399,5343,12245,7271,6938,12226,5969,7318,2569,21117,8858,3774,6937,4480,4279
"MDK",10319,10512,1401,5816,4532,3835,9454,1250,18383,7451,8966,5953,5684,6186,10129,5141,4728,3590,5743,2504,9976,6039,5526,3134,4901,7427,8890,1298,5902,4293,3623,4884,5965,11425,6578,5682,7224,11137,14717,14521,6479,3832,6329
"SLC7A11",2728,2150,1509,7197,3087,10427,5676,13754,495,2726,1026,3589,1698,7813,14161,5355,1358,12522,1793,5248,9877,9013,6178,5210,5045,4684,4026,2659,4889,1873,681,4822,8196,6797,6274,2883,11843,5561,4757,3869,1959,1004,541
"ITPR2",6503,6774,1512,2705,780,3719,8266,2046,9667,10803,8072,5731,3899,4553,5308,6616,11719,6925,4993,2343,5242,4867,11269,3613,3995,3155,2285,1135,3292,5614,1652,8867,4659,4655,4894,3633,5550,14290,13969,15884,7232,9300,5550
"NHSL2",9112,5840,247,8517,1205,13071,7943,6121,7250,6913,6873,9349,6454,6771,6852,5548,7820,6832,6029,7592,8040,10476,5838,8506,10871,8908,8746,202,7548,8470,7471,2106,8298,5960,9954,7234,8346,13441,12317,12700,11471,16827,18073
"SLC20A1",3853,2850,19119,8450,14619,5697,2999,2993,1143,1417,1009,4590,1219,4142,3527,1908,724,3498,1284,2020,3596,3826,2886,5712,5936,5083,1813,9289,1970,566,817,4255,5753,3242,5131,2266,8329,6378,6820,6108,4213,1310,1392
"BCL6B",7774,5401,663,12628,6,15294,6918,3068,3668,2153,2506,7674,1960,6079,6400,2049,1256,4433,1751,2383,6559,5179,2683,6499,9492,8588,7379,16,10058,6753,3537,3836,7233,7921,10551,7344,9380,10620,11118,9925,8995,6668,9277
"HNRNPU",15016,16531,13573,19544,6575,14391,18918,17266,19127,16726,11412,15981,14950,15190,17025,20603,15236,18293,16850,12653,20506,18491,12939,23268,15500,18146,18024,13488,12476,11351,10639,11005,18392,10931,16559,11851,19625,21873,20740,20999,17033,19011,18538
"TRIB2",1531,4695,6312,1620,2596,2759,5232,2520,7175,6105,3420,1911,5754,1526,1884,5213,4783,1467,6312,2182,1637,2740,4244,4080,2326,3751,6579,2001,2905,3647,8973,2141,2213,4260,1959,2795,1375,2441,2062,4237,9109,17484,17922
"ATF6",6940,11670,4290,10267,3828,6572,9961,7760,16322,10342,7364,9972,9975,6399,8624,10572,9161,6389,10917,6485,8850,7828,6683,12752,10031,11719,9877,3248,9007,8876,10741,6502,6816,8623,10578,7811,8491,11323,10718,12775,15872,20938,19495
"TANC2",3688,12491,9102,3090,4618,1776,3661,633,9548,7382,6308,1512,5132,1542,2010,3869,10127,2146,5218,844,944,1765,4873,3021,1863,1354,3511,3885,2752,8681,6679,6752,1501,6162,1872,2255,2184,3767,4253,5054,8448,15275,13897
"EIF2S3",25185,11154,15706,13731,21837,15828,16105,16886,10950,7990,10867,11760,12527,11961,16776,17617,14721,17541,20091,13845,16162,16075,15201,13736,17569,19840,15277,14771,17040,12687,13657,9285,15075,10660,22012,18214,15235,17338,20892,18793,18131,17457,18362
"YWHAG",16722,23536,16116,20891,10544,14299,17699,15123,22167,15935,13274,20219,12707,16689,19029,15484,14254,14109,12006,11165,21111,18621,13623,22027,19074,22417,18044,16158,15469,16155,15707,15861,19830,18567,20932,14658,22855,20229,17874,19643,20428,22707,25303
"PTPA",7374,5839,7216,7644,6733,21162,8511,7558,4571,15262,12610,9206,6615,8253,8543,9644,15873,9886,5594,7487,8208,7821,13058,7659,10958,7401,6361,5801,19732,12795,5654,6982,8898,8214,7713,5874,9021,7120,7683,6989,7381,6456,6298
"CSNK1A1",18671,20669,14232,15571,17920,15534,17419,18080,20146,17015,13474,15403,13691,13512,15542,20613,20597,18676,14561,15808,16443,15472,21826,15919,17762,16923,14721,21435,21274,23765,12197,18288,15413,17213,19501,16794,17147,23433,23895,26496,26246,23423,22718
"SLC6A6",2280,2027,4894,3414,3983,8026,2410,18033,2985,3868,2498,2911,2055,1788,3912,3765,6730,4701,1863,17575,2889,3874,5532,2832,5784,4469,2353,478,4943,2207,1482,2135,4882,8343,2546,1417,4253,2588,1873,1638,1979,903,690
"XRCC5",19399,16902,14096,19156,12863,16366,18229,20215,13815,14883,11157,17076,12052,15501,17891,19895,13685,22095,17469,14732,19523,18911,16016,21430,19977,21634,16916,15239,19824,16370,10623,13175,19173,13578,22425,16635,19867,23105,25051,25036,21698,19239,17619
"PAK2",12575,15475,8649,12072,7218,10894,12807,9890,18386,14252,11681,12220,12862,9476,11968,15114,18920,10701,15004,9008,11823,9762,12793,14379,11468,12488,13902,9709,11063,14672,14236,8677,11111,11940,13304,11546,11654,14714,14186,16386,18550,24353,23304
"TRAM1",12233,14636,12948,12238,16783,11945,13379,17587,10166,11203,8477,12197,9667,10765,12728,12412,12894,10666,12187,11998,12608,11970,10826,12979,13343,17242,14769,28595,15954,18189,11905,11626,12094,13733,16341,14506,13117,16717,16405,19883,17926,19342,17367
"IPO7",21877,20438,15097,16706,20598,14111,15357,14801,14345,9805,8641,14561,11094,13992,15064,14894,11430,14804,15330,11038,14610,14853,12937,15800,16726,20172,15689,19160,16797,10482,13546,10712,16310,11442,19216,17559,17087,20948,21798,21962,21708,18205,16478
"STARD7",13302,13412,6867,10107,8133,9040,14115,10088,16688,19520,17180,12683,14060,8754,12080,16604,23430,11908,18366,9031,10550,9758,17646,14229,11451,12176,14032,17568,15702,15785,15643,10558,10464,9985,13171,14394,10860,12830,13961,14156,14475,18654,18446
"SNX32",20284,16730,20738,20000,17043,21267,17994,21942,13707,11686,10131,19210,14940,19701,19854,19636,12621,17641,27030,19554,20173,19092,13817,21878,20392,18288,12762,16702,14962,13402,10952,16302,19739,13547,20513,15974,22444,20173,19412,16197,19487,16527,15891
"SNX22",16083,12506,16358,13101,28078,12440,14360,14144,10481,11510,8712,12929,12882,13289,14560,16659,13631,13687,23811,11191,15092,12540,13676,16138,15868,16490,13500,19627,14315,13797,10243,10026,13181,8843,17871,15484,13375,14608,16349,16296,13032,12083,10927
"NID2",807,1555,2964,4151,1856,1822,2063,473,263,239,655,1393,1774,703,738,869,560,89,1360,442,651,512,874,2856,1925,3109,852,21847,236,738,1350,66,2653,1565,4622,2528,862,1603,2756,1701,2409,1805,10278
"SND1",20405,13557,22244,18799,18284,15722,19498,16491,11398,13897,11019,21082,15918,16949,20360,19384,15354,15915,17740,14838,21751,20372,16489,22864,25680,21347,17923,20014,13713,9427,13044,14580,16852,15155,16698,11957,22329,16729,16294,17877,15620,15704,13721
"TNFAIP1",6483,10197,4602,9276,2769,10563,13086,15262,11936,18024,9327,10458,11760,9693,12794,12087,21030,10088,13279,13150,12708,10900,17371,8815,10246,10191,9817,3459,10924,13333,10790,10593,11988,10610,8170,7239,14290,9127,8398,9234,14148,14269,14267
"CPT1A",6558,11434,2486,11625,3888,5137,5930,6081,6126,3711,2599,6725,10557,4768,6032,7483,5920,5092,3659,6325,9732,5902,2932,7785,4726,6930,8045,3486,5104,3576,7076,2981,4011,4224,10943,8684,5020,10718,11468,11712,13068,18356,13024
"CHD3",14056,7358,8731,10702,5141,9502,9387,3374,4289,6990,4858,12021,5224,9189,11581,5930,5755,5386,3491,4482,12404,11243,5793,10818,11690,13005,11251,7920,6946,5457,5402,3045,7599,4528,14190,9623,6533,15310,12427,15103,5836,5285,5640
"CELSR1",1482,4753,783,856,5,1684,3418,563,12275,5137,5053,1071,7039,1216,518,4091,5182,388,4543,1436,723,955,1309,2880,541,1935,3998,15,847,1762,8569,408,186,717,479,3237,171,1589,1621,1650,6180,12021,14979
"EFNB1",4685,3070,3060,6897,1986,17793,3116,7097,680,1806,6737,3641,1537,4014,3986,1497,3148,6305,191,10537,5125,5150,6012,3652,11387,6041,3618,1531,10281,6472,271,7166,4721,5393,5155,2450,8634,6722,9820,6220,7155,662,887
"TBX1",999,8379,12,1547,111,784,3975,3068,13126,4991,4943,1534,8493,2292,2314,6324,9174,81,9983,4026,1407,1671,2271,1511,603,1308,629,50,19,5038,7037,2378,1474,1606,647,1105,486,848,507,697,7332,8675,10919
"CRIP2",15442,8554,5447,10125,3202,13086,10906,11363,7248,5882,7589,10808,11444,10875,11018,12674,9618,6417,9387,24330,9269,9864,6375,11253,11249,13410,10666,6341,11123,9947,8717,5618,7223,6241,14679,12356,9159,12727,13812,12093,10542,9307,9569
"NAV2",3410,10490,11926,13715,6039,10644,5614,4106,6869,3753,2006,9587,2167,8358,7756,4212,3719,6449,2382,3481,8271,5105,4560,3914,9220,4806,3031,4356,3957,2706,2079,11641,13691,10399,4034,3034,11887,3719,3206,2291,7770,3187,1967
"FAM107B",12123,3405,1761,8310,758,7494,5796,1472,3410,6498,6490,7628,3216,6623,8269,6445,5176,7851,3077,1048,7702,4020,7578,6664,9676,7416,7370,2287,10684,9122,5765,3785,8473,16018,10277,10850,10043,12382,12754,12636,7002,7925,8564
"RERE",9619,10704,6293,8912,3835,6815,9111,4785,16556,13483,10822,9105,12016,7585,8677,10156,14735,5030,15527,5407,7497,6882,7201,11168,7539,9436,12253,7591,5634,6679,17328,4556,7443,5841,8285,8373,6870,9012,8067,8515,8952,15206,16776
"YBX3",27092,19035,13317,20294,11756,22075,20860,14084,12435,13664,15268,20317,13416,18989,20688,15674,16359,19846,19504,13758,20724,17846,18674,19523,24808,23792,19081,11954,19067,17461,14861,14161,18423,20353,20845,21269,17047,17711,20089,18416,19337,19937,15608
"GARS1",8274,12701,14515,10311,18936,9765,8151,9168,9900,6683,4130,8883,5948,8036,8502,8396,5740,9542,8258,6597,9320,6636,6522,9925,11391,9114,5753,24089,7060,6214,5259,9746,10156,8950,9278,6455,11430,8431,8505,9096,11016,8822,7846
"APBB2",9676,4034,5024,11944,6694,5270,4704,4711,1828,3248,2234,11348,1918,8236,7357,2892,3706,5103,4768,5724,6287,5595,3722,8463,8939,7642,7877,4793,4863,2156,1971,8126,7845,8080,11068,7061,8300,14764,12831,16223,6640,3644,2546
"FBXL5",3212,6967,3190,3809,3359,5724,9058,11979,5433,10014,3904,4106,8107,6920,7472,10783,12134,9895,10498,11025,6828,8010,10054,3338,4756,3509,3127,4650,6717,7227,3328,11079,9898,4695,3604,3699,10389,8988,9150,8823,16965,13695,12412
"PTPRS",2501,6413,14215,1544,8153,1192,2765,58,11615,2097,1946,1371,3372,254,828,2234,1434,536,4058,106,631,723,1787,1252,2636,2048,1622,6434,333,1267,4612,1726,1992,2294,1018,943,994,4378,3280,3189,7292,10884,11891
"GPI",12119,11220,26387,15568,8979,18863,13965,18311,9016,15387,14011,13720,13222,13458,13094,18615,16719,19633,17333,14820,13638,14775,14105,20930,19740,13259,9792,17143,12766,14404,9093,11613,13457,14662,12950,9095,15619,13240,13828,11596,15037,15890,14986
"ATL3",11066,15371,15330,14664,13808,15068,13028,22671,10209,10963,9902,15044,8026,11367,12036,10962,12479,9627,8496,16873,13153,13092,11328,12761,14260,12304,10137,23981,11898,14795,7073,17526,13623,16594,15521,11159,17294,15072,14824,17785,17714,16722,14960
"PCBP1",22206,12855,10407,16522,12247,19596,19950,21106,14142,17240,17878,18299,19154,19136,19910,22686,22269,18106,28208,21871,20534,19602,15720,21934,20659,21616,20470,12107,19003,18305,16249,13117,18693,12897,17230,15714,18260,15559,17362,16069,16091,16291,18832
"RANGAP1",5980,9999,7258,9731,3904,5177,11411,5452,11863,6993,3132,12498,8130,13987,13734,12380,5129,7088,7749,4544,14034,8952,7357,10218,8663,6714,4834,4820,4455,3653,4703,8081,13958,4268,6269,4940,17702,7290,6886,6005,9038,7040,5572
"ARID5B",807,4067,5798,1282,5336,1110,7065,3017,9749,5888,2221,2052,7592,3582,4455,9090,13936,3535,8927,1864,5489,3613,7977,2440,1439,1686,3132,17058,3268,5075,4830,3840,2592,4364,1088,1359,3328,892,879,1009,3332,4906,4093
"PRRC2B",15677,14943,13396,16244,7455,13364,16905,8049,16711,14363,10358,17381,12855,14519,16916,14581,13123,10361,13258,9056,17975,16360,11934,16657,15686,15295,14004,11646,7541,7299,11194,9526,13449,9276,15452,11960,16066,20223,16389,20925,13887,18127,18613
"ATF4",9916,10686,7989,7641,24386,5122,8344,5123,10394,6725,3702,5790,8142,6645,10412,11386,10701,6715,9470,7294,10537,7362,6721,9766,7556,9550,10056,7035,8125,7754,9465,4816,6401,3900,10611,12528,4345,10386,13191,12623,12425,8381,10400
"LRP10",14703,14394,20318,23752,16226,23460,19728,14385,12487,16732,14492,22176,15320,18685,18409,15539,17905,13992,10835,19365,19709,19812,14962,21705,25542,21753,15605,21062,13420,16057,12829,12698,17371,16769,19307,13312,22204,19132,17794,19808,15574,17984,17231
"PEAK1",6089,14145,7754,8839,2649,11267,7517,7465,10589,17186,10216,7331,7368,6538,7040,7627,13206,7998,7868,7524,7160,7300,10407,7933,10313,7539,6994,13878,12776,15384,8487,9080,8117,8135,9022,6991,9644,11071,9328,10488,15283,18940,17478
"NCOA4",17617,17895,13156,15297,12013,17836,15740,21704,13579,21242,14256,16946,12825,15656,16458,15310,20615,19701,14441,19871,16699,17714,21103,20147,20190,21260,16450,15138,25216,27288,9363,17061,18632,18095,19526,15417,19452,19881,20676,16761,20714,20922,17244
"WDR74",10621,7884,5848,5475,14866,7715,8335,17150,4495,8666,14143,8090,10305,8484,12561,9136,11135,5633,4341,11497,8083,7667,10031,6205,9840,12184,11412,3944,11107,15825,4340,9504,8212,7957,11489,12727,7912,5930,5353,3789,3713,3869,6410
"YES1",9191,14245,3503,15388,3977,13697,7316,8641,11894,7991,8403,7343,5540,6649,7473,7776,9684,11481,6818,7416,7065,6816,8156,10279,12176,12940,12487,3114,16423,15898,11721,6007,8128,7136,13699,10992,8075,10958,12432,10689,13789,13750,14000
"DDB1",18683,16053,20661,20947,12940,19241,22273,21607,15482,19471,17516,23514,18923,18993,19910,22324,18172,19008,26085,21481,23704,24085,23033,27244,24007,23358,18740,21831,15265,13412,11527,16910,21193,18302,18642,14566,22839,19937,19348,21246,17148,20906,19278
"SWAP70",9068,8200,3624,11345,2588,11151,9726,8626,9402,4005,2815,9098,5639,9351,13827,7655,4427,10849,4895,5468,12003,12372,6360,11153,11471,9196,10738,3531,10876,2563,4257,5031,8223,15632,14213,7779,12040,12662,9434,11289,8714,6304,6706
"TNFSF18",1266,13255,822,7336,33,2026,1772,516,7842,401,325,9665,437,7659,4865,1118,43,2971,878,190,5258,3074,409,5768,3950,1116,952,49,547,371,247,6130,11716,4582,3874,3485,8744,852,485,729,2622,3854,424
"IL1R1",698,880,9359,906,10171,1707,2818,980,1243,6375,1632,690,6119,1390,2404,3336,9966,1221,2519,1859,2387,3445,3337,1555,1398,1934,1507,15571,2077,6028,11406,1951,812,359,1374,847,2178,1227,2421,1207,1262,3728,6932
"SLC7A2",846,51,81,680,778,204,3631,185,69,164,384,5139,177,3750,10828,179,265,1032,197,19,19047,397,2325,680,816,992,670,7489,112,64,583,460,1539,1056,1512,785,1653,1462,1393,1207,560,445,164
"FMNL3",10217,10284,9335,12149,3820,11147,10405,6218,13042,7288,7494,11724,8696,10493,10688,7100,5826,4788,8956,7599,10472,10614,6502,10449,12640,14854,12520,2346,8072,7243,11699,7062,11183,8730,15303,11593,11074,15747,13662,14671,12272,15216,18623
"HID1",3882,1570,172,3508,45,860,5189,8707,5525,1655,1422,3150,10439,2683,2790,10077,4919,755,12276,11647,2731,2696,597,7284,3428,4840,4314,4,1374,1319,7551,247,1747,116,4875,5021,2117,3483,3700,4018,5458,9114,10643
"PREX2",5997,2421,596,4788,15,1479,7300,3933,4741,133,2108,6934,3010,6611,6637,3785,475,3280,5012,4769,6544,7239,522,8184,2902,4056,5095,7,2224,411,2806,318,3077,3261,8782,6018,5815,11671,9258,14617,6033,9571,9915
"MATR3",13136,14130,11110,13427,9468,9839,13072,12297,13766,10303,9816,11098,9886,9332,11450,13755,12928,13238,12817,10438,13264,12109,10937,13937,10937,16519,16437,9304,15635,14364,10458,7652,10982,9838,14592,12199,10998,19641,20029,22258,17962,19590,19440
"GLG1",13837,10875,15247,17623,9995,19519,21469,12970,10765,18642,20569,20307,15416,15002,14837,15083,18605,12818,13190,13520,20184,17956,15525,19918,19655,20255,16659,14851,13049,15144,11156,10569,14916,17821,16577,11662,16652,19254,15956,21276,13764,19784,22263
"CAPRIN1",20715,19995,19208,21367,15069,17867,21314,19924,17580,17210,13793,19868,15179,19269,20118,20062,17997,23514,21230,17222,22083,22090,20128,23104,21034,21174,17695,22982,16210,15137,11756,19753,23579,16411,21338,16463,25563,25420,26624,25893,24140,22631,21360
"DHRS3",3813,3472,1653,2231,45,3547,5189,2678,5637,10173,12873,4333,5660,6451,4785,11000,14852,2852,7497,5930,5537,3118,15084,3284,5035,3235,3217,2299,3381,8740,2167,5660,4804,3035,4238,3981,2021,2706,3231,3517,2557,2717,2532
"CAST",8039,13242,13573,12477,13440,11207,8257,8210,10119,6582,6370,7782,6771,5716,7121,8049,7580,7401,5284,7451,8757,6892,5368,9171,11510,9231,10148,9801,14191,16325,8954,5202,6973,6102,10498,9241,8114,10442,12456,12441,18446,16734,16574
"SH3D19",8927,10058,3882,10363,3807,6338,9867,4024,12078,7729,3582,9600,7228,8600,9100,8405,8321,7762,8210,4414,9255,8709,11069,8525,8692,6848,6027,16574,4494,3282,6394,7726,11188,10248,8775,6715,13650,13256,12407,14937,14388,14921,13704
"SEC31A",18317,16230,20574,19403,16744,15861,15692,13557,12693,12651,10191,18499,11730,15821,16807,13909,11084,13803,14747,11303,17996,16373,13503,20184,20068,20496,14517,26234,13342,11801,9803,18013,16161,19601,15056,11682,19373,17362,15701,17358,16593,18425,14413
"QKI",13180,13239,9634,10990,8710,9985,14713,11065,16009,9801,9017,9233,10206,8356,12235,11937,14045,10769,11274,9328,11335,11101,11047,10192,10200,13678,14682,6717,11423,17775,11964,8139,10595,9768,14926,11109,11882,20012,17804,21328,16087,16894,18738
"PIM3",8862,6677,1681,7172,931,1903,10770,9285,10815,5966,2869,6948,7422,9176,9679,10530,5725,2411,7867,10458,7861,6797,3618,12040,3144,10359,4699,465,2178,1333,6198,2257,3434,2337,10321,10315,5219,9010,8629,9253,6958,9060,10334
"RND3",2824,5522,4941,2731,19284,2059,5427,1455,10831,1271,266,3520,841,2978,3853,2737,805,2265,815,525,5436,5532,4395,1732,2646,4882,1319,6052,1308,2021,890,7887,8356,4094,3474,3119,6187,5236,5481,6850,4149,2116,1227
"STAT3",10192,11342,10315,14381,3788,12031,15824,17143,10661,20891,14333,14724,11693,11943,15295,12014,22710,13436,10995,14125,17737,16688,17134,15186,13838,16970,13234,8661,13683,17954,8677,12651,12689,12907,11791,8554,14426,13986,13927,14796,10637,12697,13082
"SNHG5",5339,3891,5060,5508,9598,2574,455,6731,706,229,314,2504,430,5356,6758,568,4784,6300,360,4047,4692,322,3990,3523,443,4060,4059,5021,6297,4528,7288,2003,386,1388,9252,18261,4372,2897,4691,5073,4391,6863,7368
"SULT1B1",5962,962,49,3813,379,8740,4709,2701,283,8841,3598,1873,988,1287,4450,5785,11221,9068,629,1766,2347,2028,10629,1745,6545,1549,1255,1582,10217,11511,1384,4042,3991,6226,763,1855,5552,6228,6097,7240,2020,1361,432
"PRDX6",12975,9688,18195,10602,16637,9588,9859,12111,5151,7740,5676,11929,6642,11660,11919,9042,8151,13382,8185,9273,11454,12634,11973,12717,17094,11874,8194,18672,9031,7809,5490,12594,15618,8283,12241,9643,17601,11173,12084,11707,11376,8394,7486
"JUN",5761,12312,10037,15894,2043,10820,7475,4521,12824,6628,3568,11570,6367,7128,6202,6402,7331,4287,4423,3700,7680,5221,8580,8474,11086,10733,3779,2293,4385,3347,3047,10465,9691,13044,7474,5284,12456,5638,5206,5626,6865,5105,4101
"CAPZA2",14990,10959,7512,8969,8756,8585,11786,15907,11598,7312,4914,8546,7501,8303,12446,13165,7618,12442,9504,11915,9701,10595,8133,11271,9141,11938,12550,7698,16018,11891,7956,6266,7259,7960,16302,21851,8494,12718,15069,14465,11033,8657,7874
"RAB11FIP1",224,1072,761,179,461,162,3848,289,3610,6045,5683,57,10021,352,413,6383,9485,583,9739,202,323,324,2194,1762,398,509,1373,224,573,3403,6273,728,292,132,214,527,247,341,430,479,4001,10118,10841
"EIF1",23248,24336,17361,17714,30226,18319,20193,23147,16661,12989,10551,13436,15593,15053,19581,19500,17316,17001,16334,19739,19003,18636,16281,16870,18446,20940,18957,20152,19968,17568,13698,14354,18357,15148,19389,18035,18444,17519,19601,18950,19113,15248,14918
