"","x"
"777","LOC105372117"
"778","LOC105374836"
"779","LOC105375489"
"780","LOC105375683"
"781","LOC105376392"
"782","LOC105377700"
"783","LOC105378519"
"784","LOC105378552"
"785","LOC107984190"
"786","LOC107984219"
"787","LOC107984638"
"788","LOC107984665"
"789","LOC107985184"
"790","LOC107985304"
"791","LOC107985367"
"792","LOC107985388"
"793","LOC107985403"
"794","LOC107985544"
"795","LOC107986152"
"796","LOC107986934"
"797","LOC107987245"
"798","LOC112268052"
"799","LOC112268118"
"800","LOC112268140"
"801","LOC112268444"
"802","LOC122526782"
"803","LOC344065"
"804","LOC728743"
"805","LOC729867"
"806","LOC93622"
"807","LONP1"
"808","LONRF3"
"809","LPCAT3"
"810","LPGAT1"
"811","LRIF1"
"812","LRIG1"
"813","LRIG2"
"814","LRIG3"
"815","LRP10"
"816","LRP8"
"817","LRRC20"
"818","LRRC40"
"819","LRRC42"
"820","LRRC47"
"821","LRRC49"
"822","LRTOMT"
"823","LSM12"
"824","LUC7L3"
"825","LYPLA1"
"826","LYPLAL1"
"827","LYRM7"
"828","LZIC"
"829","LZTFL1"
"830","MAD2L1BP"
"831","MAF1"
"832","MAGI1"
"833","MAIP1"
"834","MAK16"
"835","MALAT1"
"836","MAN1A2"
"837","MAN2B2"
"838","MANEA"
"839","MAP1LC3A"
"840","MAP1LC3B"
"841","MAP3K4"
"842","MAP3K8"
"843","MAP4K5"
"844","MAPK8"
"845","MAPKAPK2"
"846","MARCHF5"
"847","MATR3"
"848","MAVS"
"849","MBD2"
"850","MBD4"
"851","MBLAC2"
"852","MBP"
"853","MBTD1"
"854","MCM8"
"855","MCRIP2"
"856","MDH1"
"857","MDM1"
"858","ME1"
"859","MEA1"
"860","MED11"
"861","MED14"
"862","MED19"
"863","MED27"
"864","MED8"
"865","MEGF6"
"866","MEIS2"
"867","METAP2"
"868","METTL14"
"869","METTL25"
"870","METTL4"
"871","MFSD10"
"872","MFSD13A"
"873","MFSD3"
"874","MFSD4B"
"875","MFSD5"
"876","MGST3"
"877","MIB1"
"878","MICOS13"
"879","MICU2"
"880","MIDEAS"
"881","MIEN1"
"882","MIER3"
"883","MIPOL1"
"884","MIR1244-2"
"885","MIR1282"
"886","MIR3661"
"887","MIRLET7BHG"
"888","MIS18BP1"
"889","MLF1"
"890","MMACHC"
"891","MMP16"
"892","MMP2"
"893","MNT"
"894","MOB3C"
"895","MOV10"
"896","MPC2"
"897","MPDU1"
"898","MPHOSPH10"
"899","MPHOSPH8"
"900","MPLKIP"
"901","MR1"
"902","MRC2"
"903","MRE11"
"904","MRFAP1"
"905","MRI1"
"906","MRPL12"
"907","MRPL14"
"908","MRPL15"
"909","MRPL17"
"910","MRPL19"
"911","MRPL2"
"912","MRPL20"
"913","MRPL21"
"914","MRPL27"
"915","MRPL28"
"916","MRPL34"
"917","MRPL36"
"918","MRPL40"
"919","MRPL41"
"920","MRPL44"
"921","MRPL49"
"922","MRPL51"
"923","MRPL52"
"924","MRPL53"
"925","MRPL54"
"926","MRPS34"
"927","MRPS5"
"928","MSANTD2"
"929","MSH2"
"930","MSL2"
"931","MT1X"
"932","MTAP"
"933","MTCH1"
"934","MTERF3"
"935","MTF2"
"936","MTPAP"
"937","MTR"
"938","MTSS1"
"939","MUS81"
"940","MVP"
"941","MXD3"
"942","MXD4"
"943","MYDGF"
"944","MYH10"
"945","MYH7B"
"946","MYL6"
